,preferred,bias,member,Time
817,8.875,,11,218.0
818,8.875,,36,218.0
819,8.856,A,57,218.0
820,8.878,A,17,218.0
821,9.000,,32,218.0
822,9.110,LT,6,218.0
823,9.375,,26,218.0
824,8.750,,7,218.0
825,8.750,,22,218.0
826,8.750,,15,218.0
827,9.000,,45,218.0
828,9.000,,59,218.0
829,9.276,LT,14,218.0
830,Brimmer,,4,219.0
831,Clay,,7,219.0
832,Hayes,,57,219.0
833,Sheehan,,13,219.0
834,Kimbrel,,36,219.0
835,Wallich,,11,219.0
836,Winn,,14,219.0
837,Morris,,32,219.0
838,MacLaury,,70,219.0
839,Mayo,,45,219.0
840,Coldwell,,82,219.0
841,Balles,,59,219.0
842,Eastburn,,58,219.0
843,Francis,,52,219.0
844,Francis,,15,219.0
845,Staff,proposal,6,219.0
846,Staff,proposal,22,219.0
847,Number,(voters),26,219.0
848,9.299,LE,4,220.0
849,10.000,,36,220.0
850,10.000,,57,220.0
851,10.050,A,59,220.0
852,10.000,,7,220.0
853,10.154,LT,13,220.0
854,10.220,LT,32,220.0
855,10.250,,82,220.0
856,10.250,,70,220.0
857,10.250,,14,220.0
858,10.250,,11,220.0
859,10.375,,45,220.0
860,10.500,,52,220.0
861,10.625,,58,220.0
862,10.625,,22,220.0
863,10.250,,15,220.0
864,Burns,,11,221.0
865,Sheehan,,7,221.0
866,Hayes,,36,221.0
867,Mitchell,,4,221.0
868,Wallich,,13,221.0
869,Kimbrel,,70,221.0
870,Winn,,32,221.0
871,Clay,,57,221.0
872,Mayo,,82,221.0
873,Coldwell,,45,221.0
874,MacLaury,,59,221.0
875,Morris,,14,221.0
876,Balles,,52,221.0
877,Willes,,15,221.0
878,Francis,,58,221.0
879,Francis,,6,221.0
880,0,,26,221.0
881,11.597,A,70,222.0
882,11.500,,4,222.0
883,11.500,,13,222.0
884,11.500,,36,222.0
885,11.500,,57,222.0
886,11.750,,59,222.0
887,11.750,,7,222.0
888,11.750,,11,222.0
889,11.750,,18,222.0
890,12.000,,45,222.0
891,12.250,,82,222.0
892,11.375,,14,222.0
893,11.375,,15,222.0
894,11.500,,58,222.0
895,11.625,,52,222.0
896,11.750,,6,222.0
897,11.750,,22,222.0
898,Burns,,4,223.0
899,Hayes,,70,223.0
900,Holland,,7,223.0
901,Kimbrel,,13,223.0
902,Mitchell,,32,223.0
903,Wallich,,36,223.0
904,Winn,,45,223.0
905,Clay,,57,223.0
906,Francis,,82,223.0
907,Mayo,,59,223.0
908,Morris,,14,223.0
909,Van,Nice,26,223.0
